param revenue :=
  [*,1] P1 5.04851136532215, P2 8.82968369035379, P3 8.56789919787368, P4 7.08687122238756, 
  [*,703] P1 5.21970017568388, P2 8.80071833397018, P3 6.95549693523066, P4 6.33338776672975, 
  [*,704] P1 8.12554048451877, P2 5.46301450173744, P3 7.7226752457627, P4 6.68548802660648, 
  [*,705] P1 7.22271400175373, P2 6.30294034077273, P3 9.6171817623712, P4 6.27982149018699, 
  [*,706] P1 10.2989825227428, P2 7.06362715211411, P3 7.30126848342163, P4 6.3639262649077, 
  [*,707] P1 8.35531203980292, P2 10.5204332755254, P3 5.18506370378747, P4 5.21582718828881, 
  [*,708] P1 9.91746011991806, P2 7.95929445874367, P3 8.46662543457651, P4 5.57572472287234, 
  [*,709] P1 11.1245105215823, P2 8.5198503283644, P3 6.01248159063543, P4 5.76615793424813, 
  [*,710] P1 10.4004220370541, P2 8.21831205475033, P3 8.50747825117723, P4 5.79712944596327, 
  [*,711] P1 6.19872860800083, P2 8.03137615229426, P3 7.08770362165169, P4 6.46728541465857, 
  [*,712] P1 6.82171454781163, P2 9.53579390462656, P3 9.56146827419474, P4 6.58897038073576, 
  [*,713] P1 7.76877466440981, P2 8.21211847855608, P3 6.20478094755362, P4 5.60716843775102, 
  [*,714] P1 5.23666737660421, P2 9.9937802421121, P3 5.33237938495058, P4 7.08998429908035, 
  [*,715] P1 10.5644700893468, P2 6.71679401049334, P3 7.87074105438873, P4 5.24066876746963, 
  [*,716] P1 5.79024222434058, P2 6.25732158666892, P3 7.16245679124934, P4 7.13588539742017, 
  [*,717] P1 10.3901289508876, P2 7.63676157059638, P3 9.28932251619175, P4 6.24338819187513, 
  [*,718] P1 8.43935373488635, P2 7.06512575131645, P3 8.46606022412229, P4 6.29282224229649, 
  [*,719] P1 9.58402326075405, P2 6.82117794974149, P3 6.61161046762584, P4 5.84601036313205, 
  [*,720] P1 9.52552675755702, P2 5.47330349911246, P3 10.7669330695823, P4 6.2158423430198, 
  [*,721] P1 8.88187396724314, P2 8.00345019329203, P3 5.71620887378599, P4 5.78633866000535, 
  [*,722] P1 11.8454433912668, P2 7.60039080753103, P3 7.63832045156213, P4 6.23972510500132, 
  [*,723] P1 7.61599089686701, P2 6.57697049000089, P3 7.39535719012896, P4 6.69186248850589, 
  [*,724] P1 10.9979555256291, P2 8.21924625861412, P3 7.99208376706991, P4 6.04764902928357, 
  [*,725] P1 5.73527168723762, P2 5.94379768404518, P3 7.87507050469725, P4 6.55409156510217, 
  [*,726] P1 7.25524892577088, P2 9.97618412559865, P3 7.69351181588255, P4 7.07630100794738, 
  [*,727] P1 6.28060781432173, P2 8.64040668186986, P3 6.27507191900028, P4 6.98382600806933, 
  [*,728] P1 9.04343823422096, P2 8.13664103186721, P3 7.0339250187094, P4 6.55065851853353, 
  [*,729] P1 9.11208906498918, P2 11.4452210314838, P3 5.86491648721974, P4 5.4628292587479, 
  [*,730] P1 5.24227301041745, P2 9.53460123150355, P3 6.76285637868689, P4 6.89445289818225, 
  [*,731] P1 7.30973783420721, P2 5.80669804410855, P3 6.81861505505803, P4 6.39792421391719, 
  [*,732] P1 11.9596923329889, P2 6.01460042955358, P3 9.97884129707752, P4 5.86151958646806, 
  [*,733] P1 6.32145632856147, P2 5.96432155090477, P3 9.23865634126957, P4 6.6066255524344, 
  [*,734] P1 7.23632539380325, P2 6.2559781950609, P3 8.9075837177136, P4 6.30258701552965, 
  [*,735] P1 6.30736316933684, P2 7.64244496330319, P3 7.79809553932334, P4 6.29658402235988, 
  [*,736] P1 5.59155189893965, P2 7.87807454589454, P3 6.87289892135332, P4 6.79081848584797, 
  [*,737] P1 7.78482069972382, P2 8.88997383180626, P3 9.50034147763981, P4 6.77788506034115, 
  [*,738] P1 6.9451560720553, P2 6.29207624621238, P3 8.37521998616558, P4 6.98048725129357, 
  [*,739] P1 7.96103611828344, P2 11.1340132772674, P3 6.81754836786452, P4 6.04799406756129, 
  [*,740] P1 10.8885165790834, P2 9.49826470122809, P3 6.05223337908115, P4 5.89912082433037, 
  [*,741] P1 8.85943018900108, P2 6.18957338713647, P3 9.11694220246945, P4 6.71352791024778, 
  [*,742] P1 10.5251466613395, P2 11.5899880996027, P3 5.87011468918595, P4 5.29628135922979, 
  [*,743] P1 6.47296022882907, P2 5.21156911075059, P3 10.2614402259868, P4 7.7755513091819, 
  [*,744] P1 6.56596959297265, P2 6.88728899866534, P3 6.67718293229995, P4 7.62518423147832, 
  [*,745] P1 8.10926262135269, P2 8.99583478144254, P3 8.02502821360018, P4 7.01044882271105, 
  [*,746] P1 8.45338805659678, P2 7.68199676274369, P3 6.47362242093699, P4 6.23701984754647, 
  [*,747] P1 9.78755788378908, P2 9.35628406586665, P3 5.81906099413623, P4 5.40893179999363, 
  [*,748] P1 8.69001178010276, P2 6.98554913520136, P3 6.55510758886978, P4 6.63484729866392, 
  [*,749] P1 9.41648574052384, P2 6.4079955358353, P3 8.68287487582705, P4 5.64585997718894, 
  [*,750] P1 8.62764088201757, P2 8.02897932999232, P3 5.40363894985486, P4 5.94874029105269, 
  [*,751] P1 11.7089058041003, P2 6.9718493405828, P3 5.77208161161866, P4 6.09063681036977, 
  [*,752] P1 8.33819799461828, P2 8.21350902748939, P3 8.27409655971611, P4 5.92137677684412, 
  [*,753] P1 11.6869557655128, P2 6.8832791443954, P3 6.36821139823992, P4 6.15886879104662, 
  [*,754] P1 5.49643486085722, P2 5.52694704996591, P3 8.04741303746123, P4 7.32002385287441, 
  [*,755] P1 8.17967227780537, P2 11.1325497163753, P3 5.60286414706545, P4 6.5973542081222, 
  [*,756] P1 11.0778216471978, P2 6.84335152560904, P3 7.81148790557033, P4 5.55672975753381, 
  [*,757] P1 9.19107612700036, P2 6.3261448451254, P3 8.1188761248666, P4 6.66240899732297, 
  [*,758] P1 9.00656266987378, P2 10.7811103362829, P3 5.27298502321255, P4 5.58227348954783, 
  [*,759] P1 10.2888267662395, P2 5.85269233774392, P3 6.89707729213042, P4 6.86855615111658, 
  [*,760] P1 9.61991811888823, P2 5.71234037759894, P3 7.82609070711321, P4 6.29392356425014, 
  [*,761] P1 7.70954472198337, P2 6.11592382793494, P3 7.92323732183916, P4 6.75765622306711, 
  [*,762] P1 9.89367685040818, P2 11.9870230955968, P3 5.76829171256642, P4 5.49495597930528, 
  [*,763] P1 5.9165788735004, P2 11.4383715058613, P3 7.46567412439572, P4 6.39021308767931, 
  [*,764] P1 10.6587408044464, P2 10.976763118659, P3 6.21815439914787, P4 5.25121323129367, 
  [*,765] P1 10.7267952821382, P2 7.50008615981601, P3 8.21325137669589, P4 5.82207156422063, 
  [*,766] P1 6.68417394840611, P2 11.9524240035336, P3 5.95018954084637, P4 6.01711989601673, 
  [*,767] P1 8.39710738618725, P2 9.41743299918209, P3 8.81339366349747, P4 5.97203481960658, 
  [*,768] P1 10.4179145215946, P2 8.95268413176836, P3 6.13093979955236, P4 5.84010066658058, 
  [*,769] P1 10.44752101764, P2 8.01306567336233, P3 6.89744911241492, P4 5.5357148502555, 
  [*,770] P1 6.74914308863891, P2 11.044267488445, P3 5.71840476686035, P4 6.01690201845407, 
  [*,771] P1 11.3241630543349, P2 10.3726537384163, P3 7.38282221877677, P4 5.62992583600778, 
  [*,772] P1 7.03287573741364, P2 8.67125763071742, P3 8.02351573103696, P4 6.00390835722501, 
  [*,773] P1 5.24358747373705, P2 10.7563776194853, P3 7.21642442212255, P4 6.48494527470011, 
  [*,774] P1 8.68712460269973, P2 6.8092030082465, P3 7.96498841593961, P4 5.1494313831956, 
  [*,775] P1 5.56629567318926, P2 7.2894217577347, P3 7.79023124153099, P4 6.63406421059147, 
  [*,776] P1 8.09620326283051, P2 8.23139399244681, P3 5.32012853308777, P4 5.73342891099152, 
  [*,777] P1 8.6815349921583, P2 5.27047537213202, P3 9.31852859199876, P4 6.55575006008452, 
  [*,778] P1 5.65937241953256, P2 5.83880123264171, P3 8.82630624137081, P4 6.77234329660241, 
  [*,779] P1 8.07761748990618, P2 7.59968661009779, P3 7.51437225553504, P4 6.12774206891005, 
  [*,780] P1 8.17142538247255, P2 7.41955952279985, P3 9.42062628796149, P4 6.20907924519617, 
  [*,781] P1 11.5193335624572, P2 5.53046361618937, P3 7.02166338386771, P4 5.74617424806409, 
  [*,782] P1 6.43473465976611, P2 7.2062737944873, P3 6.01564584687597, P4 7.41808360820088, 
  [*,783] P1 9.08783799523963, P2 6.18661913104849, P3 10.3366670891806, P4 6.2911245287835, 
  [*,784] P1 9.71652465279048, P2 8.20858686858708, P3 7.3687383528785, P4 6.29881710657641, 
  [*,785] P1 7.52020971938376, P2 5.82852876320768, P3 9.98933561215019, P4 6.31261566426602, 
  [*,786] P1 7.63387746312922, P2 5.27648763134914, P3 8.75983599781665, P4 7.27530867526093, 
  [*,787] P1 8.28189632833577, P2 9.30715320194101, P3 8.97779839870518, P4 5.61198110352129, 
  [*,788] P1 10.9268711436024, P2 7.25885875392552, P3 6.77552760450282, P4 6.07189963452898, 
  [*,789] P1 8.24563496525527, P2 8.05550634514067, P3 9.9113060133244, P4 6.00833304187734, 
  [*,790] P1 6.7405537252468, P2 5.15091558949605, P3 9.16730110183935, P4 6.81600334806166, 
  [*,791] P1 10.4049049109036, P2 7.04870916348511, P3 7.13063671428824, P4 5.81056456398097, 
  [*,792] P1 10.3478406048016, P2 6.97622910572004, P3 8.26562436444754, P4 5.99130709351152, 
  [*,793] P1 8.67115709983673, P2 7.52517457594814, P3 8.24943659958372, P4 5.53921928894754, 
  [*,794] P1 9.49201674020328, P2 6.86852665885558, P3 7.95391662082756, P4 6.34351258968089, 
  [*,795] P1 5.75020305319885, P2 8.55752256577994, P3 8.12348502844882, P4 7.14142611523739, 
  [*,796] P1 6.71765779102255, P2 8.49273044872036, P3 7.55657264124002, P4 6.14453797265916, 
  [*,797] P1 9.93891864785192, P2 5.87648008827337, P3 6.8838842862342, P4 5.76845525115752, 
  [*,798] P1 7.74337511990615, P2 9.35861417035627, P3 9.00953888654385, P4 6.55884628253905, 
  [*,799] P1 6.50315497629786, P2 6.03477212164223, P3 8.39098762616387, P4 7.01248104545109, 
  [*,800] P1 7.89600005033386, P2 6.90503367684663, P3 6.43286890146733, P4 6.2262922340244, 
  [*,801] P1 11.0642930539766, P2 7.11437653710624, P3 8.08607646166803, P4 6.59896532693021, 
  [*,802] P1 5.27717124224109, P2 5.1325890198063, P3 10.5800438161538, P4 7.01261886349749, 
  [*,803] P1 7.96215258317618, P2 7.05707843330547, P3 9.26394416147437, P4 6.56848682198072, 
  [*,804] P1 7.81920528350766, P2 5.03000677090963, P3 9.07404270138421, P4 6.81438909501912, 
  [*,805] P1 8.88477212604813, P2 9.97469508267132, P3 8.79654926054977, P4 6.20115321380659, 
  [*,806] P1 10.9475134866251, P2 6.10308663851939, P3 7.85442667290502, P4 6.55966274186025, 
  [*,807] P1 7.31432654239825, P2 6.42688700948525, P3 8.46677869627378, P4 6.36990257996598, 
  [*,808] P1 10.5858775678481, P2 10.6463995940743, P3 6.3022969440725, P4 5.91148315712781, 
  [*,809] P1 6.48329088593473, P2 8.50053870727008, P3 7.49861242266152, P4 5.86050998378492, 
  [*,810] P1 11.7020951299218, P2 6.30102702485148, P3 5.6571660141259, P4 5.03936736220435, 
  [*,811] P1 5.63666811948072, P2 6.68305556256978, P3 6.2639389165656, P4 6.49877570777234, 
  [*,812] P1 9.86775128799417, P2 5.18917610296776, P3 6.61533877309909, P4 6.0539537225157, 
  [*,813] P1 8.28403716815746, P2 11.700164766411, P3 6.60967299615084, P4 6.10277048885646, 
  [*,814] P1 7.78676615388616, P2 6.8582132765098, P3 7.75529668999907, P4 5.77258486609687, 
  [*,815] P1 10.1907068522257, P2 8.37058119569966, P3 5.3036512736104, P4 5.90242225256106, 
  [*,816] P1 8.30705587849774, P2 7.66417117960708, P3 8.52528933319019, P4 6.68741147498133, 
  [*,817] P1 5.77047709887606, P2 11.289826624301, P3 7.28909325613839, P4 6.22967883285056, 
  [*,818] P1 7.26120797575959, P2 10.4223535546478, P3 7.64170883391761, P4 5.85397320574354, 
  [*,819] P1 7.55700868949725, P2 8.2687630394509, P3 7.30649882279353, P4 5.93807042961904, 
  [*,820] P1 8.26301811519038, P2 7.67382907628005, P3 7.19677793003008, P4 6.48965872579219, 
  [*,821] P1 7.17363809543454, P2 7.15018945679134, P3 7.27724610650961, P4 6.35396284632857, 
  [*,822] P1 7.79526243923473, P2 8.41251242909983, P3 6.01811859986883, P4 5.89355041388489, 
  [*,823] P1 11.6615936948951, P2 7.0265606226946, P3 6.97187904291196, P4 6.03989902682231, 
  [*,824] P1 9.8329867731651, P2 8.17978693482805, P3 6.89049523915493, P4 5.87951409558939, 
  [*,825] P1 7.94824455529324, P2 5.27297589431862, P3 8.10445644875163, P4 7.04146089957019, 
  [*,826] P1 6.42904405930005, P2 8.80814381275516, P3 6.56505197812694, P4 6.33047614380981, 
  [*,827] P1 11.5734989107678, P2 6.11833163768427, P3 7.96937586630833, P4 6.30375785654168, 
  [*,828] P1 9.63740620196736, P2 6.25891042194588, P3 8.30599022259319, P4 5.13424696300828, 
  [*,829] P1 8.595705902304, P2 10.0303702319689, P3 7.05254381499595, P4 5.67599983591232, 
  [*,830] P1 9.94663624371229, P2 11.2009461176544, P3 7.01928075226558, P4 5.26264593534541, 
  [*,831] P1 6.56742376497011, P2 8.15416301627791, P3 8.85569746744722, P4 6.71162003007805, 
  [*,832] P1 8.9977129499397, P2 8.62457654504072, P3 6.85607295125029, P4 5.33025311783116, 
  [*,833] P1 11.9723079247496, P2 9.84401456027234, P3 8.53339282118212, P4 5.55252342696261, 
  [*,834] P1 10.5957975444982, P2 9.88799660576617, P3 8.17599482068948, P4 5.79651825150338, 
  [*,835] P1 7.18498496193991, P2 8.08049078181032, P3 6.23349271676282, P4 5.92293188917877, 
  [*,836] P1 5.65515311191322, P2 7.63062261189641, P3 7.31099214698343, P4 7.22924465156781, 
  [*,837] P1 8.83055418473506, P2 6.5488118890613, P3 9.21329119184747, P4 6.45286485908438, 
  [*,838] P1 10.7082770509095, P2 6.14923572506093, P3 9.63077065043962, P4 6.44772816934913, 
  [*,839] P1 5.15624516200331, P2 9.70769767058664, P3 6.14683396159456, P4 6.48232634230068, 
  [*,840] P1 8.37639551160967, P2 9.59561157619594, P3 6.94939313558362, P4 5.88241231017764, 
  [*,841] P1 5.91624538591785, P2 6.78144618783688, P3 10.8905011344705, P4 6.91279355267334, 
  [*,842] P1 8.63120801264848, P2 9.01105269029828, P3 8.57815284997303, P4 6.29983082977518, 
  [*,843] P1 9.27297755754098, P2 10.4420790532066, P3 7.01478587666776, P4 5.06020102794271, 
  [*,844] P1 5.15562938463022, P2 5.51391905476535, P3 10.9840030513153, P4 7.40154724794161, 
  [*,845] P1 6.12604539805533, P2 7.45135886943181, P3 10.1076256601303, P4 7.24935734871821, 
  [*,846] P1 8.37229569330455, P2 10.0820844653646, P3 6.48335923656374, P4 5.84311135946691, 
  [*,847] P1 10.4138090511778, P2 6.2693524948513, P3 8.4826888396008, P4 6.45270346632619, 
  [*,848] P1 5.22700036785612, P2 9.11546285855999, P3 5.93922862926408, P4 6.85355822897888, 
  [*,849] P1 11.1787689455025, P2 8.3368987450441, P3 5.33061742901038, P4 5.91248306521474, 
  [*,850] P1 11.3903364741316, P2 7.37416763484244, P3 7.15843475018581, P4 5.46148433246219, 
  [*,851] P1 11.1944808056193, P2 9.66611211533424, P3 6.19828538038982, P4 6.18059174036182, 
  [*,852] P1 8.85954537886581, P2 6.56098328979945, P3 8.63541152787926, P4 5.85501567251538, 
  [*,853] P1 10.3257997494548, P2 6.35314751735592, P3 6.69790085588911, P4 6.55043894691685, 
  [*,854] P1 9.4334681786564, P2 8.09702811557756, P3 6.81002750203421, P4 6.43318419987819, 
  [*,855] P1 7.48373717610643, P2 5.13242533893397, P3 6.84768601447412, P4 6.68992560964428, 
  [*,856] P1 8.17899913209227, P2 7.53480916734277, P3 8.4213631142947, P4 6.72008391387022, 
  [*,857] P1 6.16022838598299, P2 7.42103475346421, P3 9.40838762217994, P4 5.82489759826942, 
  [*,858] P1 10.8564353708854, P2 7.01008968975727, P3 7.58901648091712, P4 6.39978591202769, 
  [*,859] P1 9.58793279637811, P2 5.46165771892538, P3 6.54825070166336, P4 6.38952091747203, 
  [*,860] P1 6.59222950336473, P2 7.04854146558129, P3 6.39162373359582, P4 5.93133236305789, 
  [*,861] P1 10.381443034237, P2 7.30099433555442, P3 5.14162899270881, P4 6.19899583453505, 
  [*,862] P1 8.2343669990167, P2 8.253156172882, P3 7.04118471709501, P4 5.09858557988746, 
  [*,863] P1 9.13257646050051, P2 8.54019381222498, P3 6.8919691960153, P4 6.07180802097884, 
  [*,864] P1 9.1578876165987, P2 9.27761405672928, P3 5.08850175565952, P4 5.41297090737389, 
  [*,865] P1 11.7965572750195, P2 7.58906997790645, P3 7.98030132801253, P4 5.71399504005597, 
  [*,866] P1 11.832333470767, P2 7.77682380512966, P3 6.83468059081554, P4 5.67071062532783, 
  [*,867] P1 9.69039267691236, P2 7.42551263178738, P3 6.44267718177103, P4 5.6063962175942, 
  [*,868] P1 10.4801220211982, P2 8.79980044215557, P3 7.00411197551442, P4 5.46222362621298, 
  [*,869] P1 7.27972470732635, P2 5.4356846823299, P3 8.2593774183771, P4 6.57647209474119, 
  [*,870] P1 5.87981721695218, P2 10.1600152996907, P3 6.37838388831209, P4 5.8212788880673, 
  [*,871] P1 11.1816177993165, P2 9.31425393551017, P3 5.66801841282907, P4 5.84618298430518, 
  [*,872] P1 7.40194040375622, P2 8.79329117137058, P3 8.18335658980632, P4 5.2029603826392, 
  [*,873] P1 9.36481515978025, P2 6.27593959594165, P3 7.43876064790686, P4 5.6964361457913, 
  [*,874] P1 8.27158318787397, P2 7.31422315459343, P3 5.62168559100873, P4 5.91693104489245, 
  [*,875] P1 7.84293906439156, P2 8.19714391660931, P3 7.73502784956707, P4 6.79645541974831, 
  [*,876] P1 9.04597355245614, P2 5.7732218692077, P3 6.54489206474756, P4 6.15659323233943, 
  [*,877] P1 10.9263489591496, P2 9.15971854495042, P3 7.20296697491987, P4 5.53151294468623, 
  [*,878] P1 11.6302499671025, P2 5.91055057386119, P3 7.1330790342769, P4 5.80924744782402, 
  [*,879] P1 9.33071806245083, P2 7.74527756420046, P3 9.25573921306587, P4 5.78295222233687, 
  [*,880] P1 6.26305974392164, P2 5.87216411175802, P3 7.15397281113649, P4 6.91575952975198, 
  [*,881] P1 7.45707892455935, P2 8.55598147696448, P3 8.66686006086258, P4 6.75280542300716, 
  [*,882] P1 9.64503473053633, P2 10.6858144066801, P3 6.36425292025742, P4 5.61194999427325, 
  [*,883] P1 11.2558951202569, P2 9.71900015895495, P3 5.82651771851904, P4 5.27546946639885, 
  [*,884] P1 5.25222067768426, P2 6.80362205357649, P3 8.7235560523025, P4 6.81994702937728, 
  [*,885] P1 11.3247196902938, P2 11.1996210086041, P3 7.54789370148805, P4 5.53741736987666, 
  [*,886] P1 6.24265528262899, P2 7.33019276018356, P3 6.09595420680909, P4 6.23648373155104, 
  [*,887] P1 9.59505124814677, P2 7.88143065630574, P3 7.37315171918917, P4 6.03195816298891, 
  [*,888] P1 8.8887972082043, P2 6.61730674146392, P3 10.4315603721825, P4 6.23959969712628, 
  [*,889] P1 5.30063091271467, P2 7.62245308348322, P3 8.08136106516567, P4 6.92812245788531, 
  [*,890] P1 10.0865067617978, P2 10.3985067582487, P3 5.68397322467816, P4 5.79475110016932, 
  [*,891] P1 6.26259575546309, P2 8.87896176279334, P3 8.7871808538532, P4 6.81472708550941, 
  [*,892] P1 6.09411756348653, P2 8.24818836256353, P3 7.16774409520319, P4 6.42536244268369, 
  [*,893] P1 5.73514429571333, P2 6.50206442251794, P3 8.15648670270128, P4 6.65137669396129, 
  [*,894] P1 6.55357082376699, P2 11.2125082295142, P3 6.0937219806052, P4 5.02927300359308, 
  [*,895] P1 8.57028467834046, P2 9.08044548609601, P3 5.0739844950613, P4 5.56440690507455, 
  [*,896] P1 7.34267109581651, P2 10.8270934219057, P3 6.67585986883507, P4 5.3183946727747, 
  [*,897] P1 9.86566447447523, P2 10.8369742908426, P3 5.28651066063275, P4 6.16609706757901, 
  [*,898] P1 9.97592147692262, P2 5.47446874780145, P3 8.12757280693797, P4 5.52002673086566, 
  [*,899] P1 11.1133909952326, P2 7.53685061486342, P3 7.135245600829, P4 5.93465169729664, 
  [*,900] P1 8.03534103875452, P2 10.3507403362083, P3 6.52959214956725, P4 6.14351969491247, 
  [*,901] P1 5.76577940696919, P2 8.08379230076154, P3 8.01218510388617, P4 7.05107047802256, 
  [*,902] P1 7.86964710652469, P2 8.46386631063647, P3 8.77889671782437, P4 6.97953176102408, 
  [*,903] P1 8.43163071020783, P2 5.00876103344924, P3 6.28574465660294, P4 5.55246026346416, 
  [*,904] P1 5.48085823963754, P2 11.1353080852771, P3 6.60093810834027, P4 5.71721312504676, 
  [*,905] P1 7.9880695273318, P2 9.41679814157044, P3 5.43472356981316, P4 5.65491933113062, 
  [*,906] P1 9.46500394602355, P2 5.67344018507334, P3 9.01488702204352, P4 5.69894702967898, 
  [*,907] P1 11.2347371035581, P2 6.52876765187275, P3 9.48886837817149, P4 5.08682518856083, 
  [*,908] P1 8.89069569938262, P2 9.76284405538989, P3 6.24346119638414, P4 5.90961318278393, 
  [*,909] P1 8.25595984160261, P2 8.98932978575256, P3 5.7722327005556, P4 6.55716809272688, 
  [*,910] P1 5.49962553895235, P2 8.00538863694948, P3 9.06087268436521, P4 7.0017050936402, 
  [*,911] P1 9.28343605478737, P2 10.8105778860389, P3 5.76523301508541, P4 6.23690692567937, 
  [*,912] P1 11.2867243148496, P2 6.62433237698348, P3 6.60416367744639, P4 5.27272679922554, 
  [*,913] P1 5.64520534436379, P2 7.0986802351219, P3 6.46336191998843, P4 6.70939240555753, 
  [*,914] P1 8.35696357504134, P2 11.5965977663549, P3 5.44075828649381, P4 5.27372850866998, 
  [*,915] P1 7.66054844342172, P2 5.58426983743121, P3 6.36260988040805, P4 7.16167531919966, 
  [*,916] P1 6.40961195533581, P2 6.04174069846055, P3 9.33017484583877, P4 7.03000769814334, 
  [*,917] P1 7.5974649696984, P2 6.15796248409429, P3 7.65040383379752, P4 6.43700144868967, 
  [*,918] P1 11.5226888255841, P2 5.65021748041767, P3 8.73818602439546, P4 6.27175786709889, 
  [*,919] P1 5.15944491434943, P2 8.56082877558976, P3 7.49987986108237, P4 6.90317792010513, 
  [*,920] P1 7.5869314198463, P2 8.36481060434966, P3 8.25637828712352, P4 6.06370293663705, 
  [*,921] P1 6.82239115585845, P2 6.3665610339899, P3 6.42886566765937, P4 6.45392265069344, 
  [*,922] P1 8.93225472105739, P2 9.13675949211255, P3 6.05202965491549, P4 6.75582930430712, 
  [*,923] P1 9.26843265457581, P2 6.57714004285626, P3 6.8422958837533, P4 5.66724145666819, 
  [*,924] P1 5.9299629821894, P2 6.45620993515133, P3 8.7208936052802, P4 7.22754218460302, 
  [*,925] P1 8.93054508702872, P2 5.70660374360805, P3 5.58449349978881, P4 7.00462838628641, 
  [*,926] P1 10.1538322225379, P2 9.21974702815238, P3 6.9472352563485, P4 5.44486866476613, 
  [*,927] P1 7.48301135894408, P2 10.4811754429288, P3 5.0418671767623, P4 6.17078422452898, 
  [*,928] P1 10.3108263232656, P2 10.6845218078877, P3 6.1671742866505, P4 6.49631773020399, 
  [*,929] P1 10.9760817058291, P2 6.51754644103798, P3 7.64159484679141, P4 5.30972778725444, 
  [*,930] P1 5.87984148638998, P2 11.1942214509757, P3 5.43878468423113, P4 5.77913292934997, 
  [*,931] P1 9.40241489564499, P2 9.43416332053082, P3 6.47175530445056, P4 6.40502453321198, 
  [*,932] P1 7.42157727281417, P2 10.0355322575708, P3 5.60588068710588, P4 6.60106959750684, 
  [*,933] P1 5.18255825492395, P2 8.24695418812526, P3 6.37300154260801, P4 6.5708801356973, 
  [*,934] P1 9.5685692797981, P2 7.10384322880287, P3 6.40214323325623, P4 5.81903471388922, 
  [*,935] P1 10.9646573290297, P2 9.90913381977976, P3 8.70191338230549, P4 5.43875767539469, 
  [*,936] P1 8.38042071969385, P2 8.63824517303405, P3 5.61645313669849, P4 6.29998774698942, 
  [*,937] P1 8.30993760208443, P2 8.84741443202284, P3 6.04785227460237, P4 6.72743851354774, 
  [*,938] P1 11.3403160135121, P2 5.75034336269192, P3 7.26559281567427, P4 5.94399224040282, 
  [*,939] P1 8.69937734954682, P2 8.23248362914121, P3 6.05405117330636, P4 5.58187893733894, 
  [*,940] P1 9.66410561448305, P2 7.95385963601456, P3 7.25746539231941, P4 5.8290937709063, 
  [*,941] P1 6.50982353633274, P2 8.21789870122664, P3 7.35210567801911, P4 6.16272675384213, 
  [*,942] P1 6.12536094467972, P2 7.13906459899287, P3 9.13725143808739, P4 6.83556812989304, 
  [*,943] P1 8.07029300092419, P2 8.8039456256584, P3 6.19182953098938, P4 6.05105973873032, 
  [*,944] P1 10.9623726188247, P2 6.18223724220288, P3 9.03086833848436, P4 6.25660980270787, 
  [*,945] P1 10.5297097191156, P2 6.80984192380639, P3 5.28555358079242, P4 5.49759355203937, 
  [*,946] P1 11.7196916359107, P2 5.82090609071662, P3 8.99228848099282, P4 6.48290824708535, 
  [*,947] P1 6.76356270479788, P2 11.8912306811534, P3 5.14286781289643, P4 5.77096355179646, 
  [*,948] P1 8.73534459088841, P2 6.04185981798457, P3 7.46060934542163, P4 6.02542660486216, 
  [*,949] P1 7.82533597321394, P2 6.15657126469608, P3 7.31614450358805, P4 6.57085391962603, 
  [*,950] P1 6.69466105576842, P2 7.40361824383805, P3 6.87587338865502, P4 6.1706710944106, 
  [*,951] P1 10.2580809374047, P2 7.95796040483685, P3 6.85084944676343, P4 5.48870909115193, 
  [*,952] P1 5.59871976422526, P2 6.24154860635612, P3 7.92284919518737, P4 6.73961003847414, 
  [*,953] P1 7.92457471223752, P2 9.059309685568, P3 6.19744456532195, P4 6.46780754191442, 
  [*,954] P1 10.0336115023842, P2 5.07650357688595, P3 9.36712405660505, P4 7.0430944777417, 
  [*,955] P1 9.99819433594406, P2 5.36492442235913, P3 8.16850194820902, P4 6.19962209203862, 
  [*,956] P1 6.88680684715177, P2 5.86784539477716, P3 10.5832355775747, P4 6.23399034060574, 
  [*,957] P1 11.3972635102699, P2 5.49960032308653, P3 7.37301644151119, P4 5.80973387336514, 
  [*,958] P1 8.64143310841842, P2 6.79820554711666, P3 9.59005304822435, P4 7.05377467864211, 
  [*,959] P1 7.71122683587273, P2 6.04770954227105, P3 6.42483219791177, P4 6.56433904058281, 
  [*,960] P1 8.90299393809937, P2 11.1471708288169, P3 5.31592690905934, P4 5.12879324580894, 
  [*,961] P1 9.61525849089692, P2 5.7396822804872, P3 8.01076588783378, P4 5.51746887594791, 
  [*,962] P1 7.40796883881602, P2 7.31378879466708, P3 7.55856674329739, P4 6.42878684551424, 
  [*,963] P1 7.47765926291894, P2 9.13157159000805, P3 7.28542542514954, P4 6.08690124851876, 
  [*,964] P1 5.06309443534391, P2 11.6195360577119, P3 6.1300806735292, P4 5.59714027345674, 
  [*,965] P1 8.74515510085239, P2 5.25315341028882, P3 8.80302122342449, P4 5.78831068745284, 
  [*,966] P1 8.48655815367865, P2 10.8792549077516, P3 6.74929780425863, P4 5.47405382131064, 
  [*,967] P1 11.416954233955, P2 5.09280774499947, P3 5.68439069712218, P4 5.92306672325601, 
  [*,968] P1 9.42012690448642, P2 7.82511344143714, P3 6.35253319373733, P4 6.34762362619977, 
  [*,969] P1 6.59641995940812, P2 11.4874129540824, P3 5.93322401069439, P4 5.51139356827822, 
  [*,970] P1 7.26479707012736, P2 9.32128903729766, P3 7.7934846210706, P4 6.19258358640715, 
