param revenue :=
  [*,1] P1 7.49203628371034, P2 7.54716551370978, P3 8.62885703549665, P4 6.65308821662005, 
  [*,493] P1 9.60038814067908, P2 9.22993674990874, P3 7.58415837513807, P4 5.84620589381047, 
  [*,494] P1 10.6620190571078, P2 5.66825938183863, P3 7.00888277815631, P4 5.6570078882846, 
  [*,495] P1 7.220376271723, P2 7.60260014102807, P3 6.78541785517593, P4 5.56356844571623, 
  [*,496] P1 9.28539675430554, P2 9.39056772754279, P3 7.13877355207517, P4 5.23107560206492, 
  [*,497] P1 8.40183706783821, P2 5.35694540544222, P3 8.10810255195952, P4 6.99735843552628, 
  [*,498] P1 9.32554999380946, P2 6.42609940902684, P3 6.79639880291302, P4 6.10195443433976, 
  [*,499] P1 8.51168319921169, P2 10.4738012982136, P3 5.92928106754467, P4 5.21248122814032, 
  [*,500] P1 10.3097150789827, P2 5.20439486967572, P3 6.7932829615438, P4 6.52998017677545, 
  [*,501] P1 11.6999860308876, P2 5.51266107016101, P3 7.6630475004152, P4 5.99306766975776, 
  [*,502] P1 10.5595603087737, P2 9.55908368377011, P3 7.52118365827605, P4 5.52697570956101, 
  [*,503] P1 8.13257214219738, P2 11.963225795769, P3 8.28197956223199, P4 6.55368470401212, 
  [*,504] P1 7.18618398442434, P2 6.13940301853373, P3 8.72515697838032, P4 6.11915637724768, 
  [*,505] P1 10.4292726544229, P2 6.19467903219728, P3 7.61637833745154, P4 5.63123499193763, 
  [*,506] P1 5.36919403817612, P2 7.73133659860607, P3 9.04151491866486, P4 6.20270042760793, 
  [*,507] P1 6.42955381642107, P2 7.11091933825757, P3 5.32045964745032, P4 6.76388261447652, 
  [*,508] P1 7.82614433914382, P2 5.44130326755751, P3 8.67928910812716, P4 5.98240526080914, 
  [*,509] P1 10.6514731285365, P2 10.7690381886154, P3 7.06817526197057, P4 5.42980401126694, 
  [*,510] P1 10.0355218413466, P2 11.0370178665006, P3 5.13609676680771, P4 5.31215167220519, 
  [*,511] P1 9.34490392374601, P2 11.2183282126751, P3 6.03583896372517, P4 5.76406791779882, 
  [*,512] P1 6.16223493269349, P2 10.1183813521464, P3 5.45807847998039, P4 6.87518410109814, 
  [*,513] P1 11.4018188469078, P2 7.45491223706401, P3 6.29449521545452, P4 6.44004092309735, 
  [*,514] P1 8.65600245775011, P2 5.70021136928757, P3 8.85869934745404, P4 5.99587253468439, 
  [*,515] P1 9.43118289845323, P2 5.4447367231596, P3 6.71301937814721, P4 6.57373908845915, 
  [*,516] P1 11.5969542200966, P2 7.41678307127828, P3 5.29677014847706, P4 5.45665209405792, 
  [*,517] P1 10.5973957620774, P2 7.79961406346618, P3 5.75234001923479, P4 6.25857946856113, 
  [*,518] P1 7.10364542401446, P2 8.9508273603123, P3 7.40974771398582, P4 6.8287011515341, 
  [*,519] P1 6.19687724488392, P2 8.46083908993504, P3 7.15860835419593, P4 5.8083508048357, 
  [*,520] P1 10.6918756679978, P2 8.34391469287796, P3 5.6355040171438, P4 5.4650165443648, 
  [*,521] P1 8.97163640416949, P2 8.35602243100437, P3 6.99663828341913, P4 5.24271172016788, 
  [*,522] P1 8.02691971870978, P2 8.05919666161684, P3 6.42159075493091, P4 5.63614553086399, 
  [*,523] P1 5.13832759759663, P2 10.9271749110335, P3 5.69537820270675, P4 6.90141027300729, 
  [*,524] P1 6.63464264061332, P2 10.0314456868377, P3 6.84880960634574, P4 6.27522512601606, 
  [*,525] P1 6.20726173228571, P2 7.12093027399799, P3 7.1395923338133, P4 7.06830416325988, 
  [*,526] P1 7.98865622504545, P2 8.73449723929038, P3 6.25641784034391, P4 6.87816902025026, 
  [*,527] P1 10.5931713798571, P2 6.15766383730704, P3 5.12813212690592, P4 6.011759133604, 
  [*,528] P1 9.61691197189627, P2 5.8918482319846, P3 9.12172739872988, P4 6.22157445940621, 
  [*,529] P1 5.80271745963744, P2 6.56043899969365, P3 7.34003523367068, P4 6.52546702076116, 
  [*,530] P1 6.32038701417458, P2 9.22155779785621, P3 6.19871740846227, P4 5.91494770899271, 
  [*,531] P1 11.0910080114466, P2 7.71307415639833, P3 5.82713427231232, P4 5.76704856520601, 
  [*,532] P1 5.70973197982111, P2 8.09956940283, P3 6.19519467528503, P4 6.76493126214812, 
  [*,533] P1 5.8717979653417, P2 9.86772836983228, P3 5.02490446376868, P4 5.1277745946675, 
  [*,534] P1 8.28293421090147, P2 6.65585682804774, P3 9.53217349935475, P4 6.57826699949009, 
  [*,535] P1 7.00621533142736, P2 7.53545929713114, P3 7.74325537059851, P4 7.56868456234813, 
  [*,536] P1 6.59541655330818, P2 7.3640344554488, P3 6.65398615375547, P4 7.15046445516309, 
  [*,537] P1 6.90624877592779, P2 5.88130916164655, P3 7.4012967889941, P4 6.76567312847292, 
  [*,538] P1 9.68165326296461, P2 9.3917661720545, P3 6.60231521820596, P4 5.46900439542329, 
  [*,539] P1 7.82488261930926, P2 9.81086352046489, P3 6.08105776369236, P4 5.99721460012642, 
  [*,540] P1 11.8292778818073, P2 6.29680111945537, P3 6.16575208782149, P4 6.11046176670764, 
  [*,541] P1 6.61592813410563, P2 5.26888746759037, P3 11.7869241109383, P4 6.83609884246115, 
  [*,542] P1 9.42563853835832, P2 5.9066118956327, P3 8.9597200406366, P4 6.02546545399302, 
  [*,543] P1 8.33239658059961, P2 9.760719062787, P3 7.7375682703437, P4 5.76558382409556, 
  [*,544] P1 8.15674576251236, P2 8.89486739592467, P3 6.13722859428294, P4 6.29787253521434, 
  [*,545] P1 7.42437245425277, P2 9.74205563675233, P3 6.05342499162663, P4 6.134118638647, 
  [*,546] P1 9.70255828288655, P2 7.62499158612423, P3 6.1431661814648, P4 5.53644272841621, 
  [*,547] P1 6.96771899573593, P2 5.07292227272219, P3 8.49517273714934, P4 7.37033071020383, 
  [*,548] P1 6.0683550346591, P2 8.2684434770699, P3 8.64851306141383, P4 6.03461344882032, 
  [*,549] P1 6.35188029238278, P2 7.78422590287563, P3 9.88484877369331, P4 7.36254739840509, 
  [*,550] P1 5.16764235787374, P2 8.74842506722115, P3 8.02882366557646, P4 7.12139817771279, 
  [*,551] P1 6.06219254903504, P2 11.9198307265325, P3 5.13114602257397, P4 5.87084788379762, 
  [*,552] P1 6.70528956405557, P2 8.03912092302435, P3 5.64841547043332, P4 6.67818843286575, 
  [*,553] P1 9.40415518342896, P2 8.51340970702122, P3 6.59473809791363, P4 5.83985717822914, 
  [*,554] P1 8.15476060150363, P2 6.91530006396054, P3 8.50974502469484, P4 6.13992692267516, 
  [*,555] P1 7.01149324968974, P2 8.85649412320841, P3 7.0027660261893, P4 6.70958389402364, 
  [*,556] P1 10.8868552889582, P2 10.1802033749992, P3 6.38661060663495, P4 6.22297847905165, 
  [*,557] P1 8.7382125314471, P2 9.45300500570802, P3 7.79907553076535, P4 5.64299764054967, 
  [*,558] P1 11.1467853443427, P2 7.91385961853932, P3 5.41323156197512, P4 6.051730983295, 
  [*,559] P1 8.87492352035199, P2 5.61452683222613, P3 6.57476694153901, P4 6.42297171079064, 
  [*,560] P1 8.38007314414934, P2 6.32411878004274, P3 7.64464401767531, P4 6.38374438862427, 
  [*,561] P1 9.90959522295494, P2 8.34932261754693, P3 7.91552615709026, P4 6.74546268344586, 
  [*,562] P1 8.81548509813645, P2 8.69944629358924, P3 7.5669929167988, P4 6.31658133304058, 
  [*,563] P1 6.90997548136543, P2 6.31783668319047, P3 9.12457687978659, P4 6.9443958095274, 
  [*,564] P1 10.3564735020438, P2 9.81181573971606, P3 7.30927257559068, P4 5.06196091277606, 
  [*,565] P1 8.44044051561407, P2 7.91385806810258, P3 7.71719704992083, P4 6.53565132276871, 
  [*,566] P1 8.60605421346386, P2 6.92259571461001, P3 6.57072493456396, P4 6.06649093924084, 
  [*,567] P1 7.76929610270928, P2 9.85018231575976, P3 6.86057696292309, P4 5.92790255504029, 
  [*,568] P1 6.27245903993021, P2 11.9147029045173, P3 5.13489440256036, P4 5.70996835224534, 
  [*,569] P1 5.26228724629485, P2 8.90599361427742, P3 7.4827032430297, P4 6.40593155702385, 
  [*,570] P1 9.81821860127139, P2 7.28107477600192, P3 6.29377229473602, P4 5.91590592590829, 
  [*,571] P1 9.9918237391402, P2 9.84859804916016, P3 7.37714133463062, P4 5.26621881323736, 
  [*,572] P1 5.75524842140855, P2 7.08038240650864, P3 6.3984621090786, P4 7.62607027753154, 
  [*,573] P1 5.107097302249, P2 9.83250185162341, P3 6.70785312306323, P4 7.05248789655254, 
  [*,574] P1 9.80950338742853, P2 7.15488017093822, P3 5.84548268380505, P4 6.23261369628176, 
  [*,575] P1 8.53853129583533, P2 10.2615126366844, P3 6.20750786214288, P4 6.45978527705873, 
  [*,576] P1 6.87145605993311, P2 8.73326118846453, P3 6.32237931947613, P4 5.55320232981357, 
  [*,577] P1 8.68083293418029, P2 5.70822080854987, P3 10.7086209774535, P4 6.85838335260015, 
  [*,578] P1 8.02707898696115, P2 7.34507011108383, P3 7.6301257850444, P4 6.83162969518593, 
  [*,579] P1 7.15993706398914, P2 6.49444133347767, P3 8.7921704366894, P4 6.49588880701119, 
  [*,580] P1 9.44710999131819, P2 8.09187024319252, P3 9.37305187845249, P4 6.19397539594342, 
  [*,581] P1 5.39073296320741, P2 6.49075091281884, P3 7.1914701082212, P4 6.85442518924678, 
  [*,582] P1 7.56658389777327, P2 8.18129250295276, P3 5.63635817920978, P4 7.02758586835878, 
  [*,583] P1 11.8255274956303, P2 10.1793990593039, P3 7.03040447701296, P4 5.71771820286791, 
  [*,584] P1 5.71652604983391, P2 7.77880586942243, P3 7.77374041871667, P4 7.46647095256518, 
  [*,585] P1 7.7312792069632, P2 5.94868816763465, P3 7.86689318841459, P4 5.74758366127057, 
  [*,586] P1 10.9552577923326, P2 5.65462500133089, P3 7.59084520916756, P4 5.95199790021524, 
  [*,587] P1 8.4024127120642, P2 7.65485140410966, P3 8.08760134176158, P4 5.46256661227215, 
  [*,588] P1 5.78758162533111, P2 7.77499898722001, P3 10.427869409689, P4 6.60793587915912, 
  [*,589] P1 11.8449829595765, P2 5.04576090093738, P3 7.29244332017571, P4 5.69709216708633, 
  [*,590] P1 7.57998073902724, P2 7.51190893954967, P3 6.7014016127842, P4 7.08122314962587, 
  [*,591] P1 7.88985417330129, P2 10.0057141527432, P3 7.30718730538318, P4 6.4625184404891, 
  [*,592] P1 9.30567868076034, P2 7.67212139802988, P3 5.91189994332974, P4 5.34320251758944, 
  [*,593] P1 8.64653867445881, P2 7.43300827036148, P3 8.80858350648294, P4 5.62216253265667, 
  [*,594] P1 7.88251995376635, P2 5.6939877827877, P3 9.18879643854466, P4 5.87652573609765, 
  [*,595] P1 11.738122045951, P2 5.17878450432208, P3 6.57527361418673, P4 5.55884626025076, 
  [*,596] P1 7.01597430117558, P2 9.5091599150724, P3 6.63591826027467, P4 5.93034731065745, 
  [*,597] P1 6.50267356685794, P2 5.7637639557093, P3 7.50291087657169, P4 7.09519009507657, 
  [*,598] P1 6.00380122459926, P2 10.3935227951938, P3 6.63092466695324, P4 6.77000752765747, 
  [*,599] P1 9.32999581751873, P2 8.22173210341508, P3 7.44981617469776, P4 6.47538420247804, 
  [*,600] P1 11.6839950195932, P2 11.1699018075186, P3 8.29479960873825, P4 5.28022011443179, 
  [*,601] P1 8.88009646895549, P2 7.50595985993433, P3 9.25856588586263, P4 6.74047148630569, 
  [*,602] P1 7.32294399973705, P2 8.95347308577288, P3 9.60381554998786, P4 6.41818621534366, 
  [*,603] P1 11.1413286192296, P2 10.0604002893282, P3 6.00831839450002, P4 5.28170988151156, 
  [*,604] P1 7.37460159830628, P2 9.17896246964023, P3 6.05076431248274, P4 5.78000301931495, 
  [*,605] P1 8.42893317215018, P2 7.43043818373914, P3 6.94037007294485, P4 6.12796698795312, 
  [*,606] P1 5.76468367372449, P2 9.26363792931079, P3 8.15019842287124, P4 6.97477324146908, 
  [*,607] P1 10.8359703335528, P2 7.3647609181503, P3 9.30613680291815, P4 5.53156369685096, 
  [*,608] P1 9.10926117316578, P2 6.59675191148617, P3 6.32328168297137, P4 6.09247579471339, 
  [*,609] P1 9.91934104146187, P2 6.1517561232685, P3 8.83234974619884, P4 6.28626082102622, 
  [*,610] P1 8.844564506958, P2 5.7529908040956, P3 7.9880705208631, P4 5.90197663612582, 
  [*,611] P1 7.60699313368494, P2 7.01154932974765, P3 8.24035730063955, P4 6.26702634508687, 
  [*,612] P1 11.5825644485564, P2 7.03721654253364, P3 7.69565736144221, P4 5.23462969535418, 
  [*,613] P1 5.87467228585538, P2 7.80111470883043, P3 8.19442308065473, P4 6.78519194910346, 
  [*,614] P1 6.00512056031558, P2 11.5085134608832, P3 5.69756250226942, P4 5.64788097694802, 
  [*,615] P1 8.57540895538395, P2 11.9628727562847, P3 5.33999407405163, P4 5.55955821762552, 
  [*,616] P1 7.72605038756592, P2 8.34972442309044, P3 8.22333685951633, P4 6.28954269824958, 
  [*,617] P1 5.86055396366047, P2 7.96170319177418, P3 8.4157751936086, P4 6.32259953998274, 
  [*,618] P1 6.77965944442673, P2 8.70272963951583, P3 8.17211293459734, P4 6.54396102312912, 
  [*,619] P1 8.54356846450399, P2 8.86905311009538, P3 5.06011125074319, P4 5.76671757160276, 
  [*,620] P1 7.18814238639552, P2 11.6633248670423, P3 6.30801803818159, P4 6.33017497006123, 
  [*,621] P1 8.73209571152526, P2 6.47137928738181, P3 8.22912030398576, P4 6.57507859467869, 
  [*,622] P1 10.7309102248293, P2 6.19543197503179, P3 7.76778953172965, P4 5.94034194801258, 
  [*,623] P1 7.58899403859738, P2 7.09209415161356, P3 9.84474366719753, P4 5.97857857396414, 
  [*,624] P1 9.50776923986052, P2 10.577620660703, P3 7.34321835790384, P4 5.42407487560164, 
  [*,625] P1 10.126685121969, P2 9.48991759966999, P3 6.57424906885044, P4 5.11086491647525, 
  [*,626] P1 7.57618304468033, P2 7.06999138073899, P3 7.39071769699878, P4 6.62250153583137, 
  [*,627] P1 11.9128589804537, P2 5.30139408176691, P3 6.19333619869455, P4 5.68039147814077, 
  [*,628] P1 9.1786275628923, P2 9.76051115176587, P3 5.01506973554586, P4 5.21799271903864, 
  [*,629] P1 5.03842300654748, P2 9.49822052566687, P3 7.28689842204192, P4 6.46953570778071, 
  [*,630] P1 9.64178180190682, P2 9.22261631211287, P3 6.70702361265895, P4 5.6498849502591, 
  [*,631] P1 5.2122040472948, P2 11.0650658288227, P3 9.85342103134282, P4 6.8192758675173, 
  [*,632] P1 10.6015958763072, P2 7.5226829020184, P3 6.63987164655899, P4 5.73521102180055, 
  [*,633] P1 7.28526466188552, P2 6.9066565402424, P3 8.9834765128264, P4 6.55543572325704, 
  [*,634] P1 6.23269123843835, P2 9.81745895737759, P3 6.954738535204, P4 5.79354008911987, 
  [*,635] P1 7.13662043207545, P2 10.1450939468265, P3 9.01370093322561, P4 6.37322482323225, 
  [*,636] P1 7.4851321151632, P2 6.95519656678559, P3 6.84766102606154, P4 6.34457530605993, 
  [*,637] P1 7.28740505009317, P2 8.68358160606438, P3 7.86923799868058, P4 5.34688395216467, 
  [*,638] P1 8.64604182109041, P2 7.5688539572384, P3 7.85690545002578, P4 5.88725169676496, 
  [*,639] P1 10.3800163162058, P2 5.67430993446207, P3 5.96837956424988, P4 5.62506811310565, 
  [*,640] P1 7.51299740074765, P2 9.49293636121257, P3 5.2130329405958, P4 5.83710982387116, 
  [*,641] P1 9.10227712176409, P2 7.2204681088284, P3 6.89427289480564, P4 6.06876043402594, 
  [*,642] P1 8.939008875582, P2 6.91001631594419, P3 8.44282289440748, P4 6.63818112952066, 
  [*,643] P1 6.74845379463343, P2 8.81587562467669, P3 6.90486308138952, P4 6.20625658786755, 
  [*,644] P1 10.3050561781647, P2 8.73686645938799, P3 8.37435305594062, P4 6.98968354764037, 
  [*,645] P1 7.94107387097065, P2 7.03925451450386, P3 5.78162059895739, P4 6.0357786092864, 
  [*,646] P1 7.30556787339226, P2 6.82964183361796, P3 7.82286305238016, P4 6.88647333723061, 
  [*,647] P1 10.4847319963661, P2 5.43782574322338, P3 8.29290500399451, P4 5.69699116972731, 
  [*,648] P1 11.2892360409574, P2 8.15660949094601, P3 6.94909501420532, P4 5.08123525874357, 
  [*,649] P1 10.8919376081162, P2 10.0753552776616, P3 6.1624920034622, P4 5.64895022872447, 
  [*,650] P1 11.3850310278007, P2 6.96722785399749, P3 6.33905798434237, P4 6.50531743274017, 
  [*,651] P1 10.4815639058608, P2 5.54403456216851, P3 8.00163726573131, P4 6.05668403370257, 
  [*,652] P1 8.00328450713655, P2 10.2137617571021, P3 6.16579597195639, P4 6.14688900304103, 
  [*,653] P1 7.33289519811058, P2 7.92917064533815, P3 6.23753646781199, P4 6.91025910853351, 
  [*,654] P1 7.5492668569467, P2 7.60453497826803, P3 8.40917816140836, P4 6.64421901290125, 
  [*,655] P1 8.47504434792297, P2 7.43185491147744, P3 6.82794238001272, P4 6.3562358436236, 
  [*,656] P1 10.7729813130206, P2 5.55344493559643, P3 8.14274869859115, P4 5.96544267922943, 
  [*,657] P1 5.87305863276286, P2 10.6638737067852, P3 5.72650069619853, P4 6.29720534980297, 
  [*,658] P1 8.92621581337968, P2 6.81960670791488, P3 5.90362015459861, P4 5.72379181247357, 
  [*,659] P1 6.95893508994957, P2 11.3086846887142, P3 5.11163783946859, P4 6.25603253961618, 
  [*,660] P1 6.01941542581243, P2 7.931549953508, P3 8.05426398103159, P4 6.60276593468459, 
  [*,661] P1 5.89555377893529, P2 10.5914722383879, P3 6.0928130729626, P4 6.75433994419494, 
  [*,662] P1 9.7608286361445, P2 6.92082713703197, P3 7.90500507721693, P4 6.28569162956193, 
  [*,663] P1 11.8433401483344, P2 5.84875353791814, P3 8.78667774957077, P4 5.66696058715979, 
  [*,664] P1 11.4825422156884, P2 7.51908285721836, P3 6.81318796586933, P4 6.16116796475419, 
  [*,665] P1 8.53354707651343, P2 10.699628925035, P3 5.67133863659542, P4 5.87519795666318, 
  [*,666] P1 8.57522948279697, P2 6.13834453993537, P3 9.49584425570056, P4 5.57438909426832, 
  [*,667] P1 11.5648488565681, P2 6.20729774056382, P3 6.37981842784091, P4 6.1647459239427, 
  [*,668] P1 5.34316871970015, P2 8.17630411755945, P3 9.68205784723441, P4 6.94725907767807, 
  [*,669] P1 6.44034527963206, P2 6.53773917923771, P3 8.80599074655988, P4 7.42822257669151, 
  [*,670] P1 9.49394602319282, P2 5.40181589104607, P3 7.6281175602696, P4 6.57734725799454, 
  [*,671] P1 6.51842617762881, P2 7.28943274761833, P3 7.29298141339218, P4 6.19397370540095, 
  [*,672] P1 5.75889550792458, P2 10.0504549016757, P3 6.22604357304261, P4 5.81738994056823, 
  [*,673] P1 8.19995071149081, P2 6.65417568589474, P3 8.38427058400236, P4 5.88518371188917, 
  [*,674] P1 7.29927422789384, P2 9.11592914318133, P3 7.7779757772254, P4 5.75736962961895, 
  [*,675] P1 8.38756132044498, P2 7.7690515978752, P3 6.81681605222475, P4 5.5669795553541, 
  [*,676] P1 7.58894206155134, P2 10.5356649611666, P3 7.43057896969774, P4 5.24528211407526, 
  [*,677] P1 7.73371859416861, P2 9.71849767449548, P3 9.22093829643676, P4 5.99985899798383, 
  [*,678] P1 7.84695855244713, P2 6.36268957332378, P3 8.74943997535042, P4 7.03768616867446, 
  [*,679] P1 6.53369916956015, P2 9.88226383442814, P3 5.56808459528848, P4 5.66644474680847, 
  [*,680] P1 6.118058659186, P2 5.73471429586094, P3 9.47529919231558, P4 6.81542160376467, 
  [*,681] P1 8.28166149487055, P2 5.52753943558747, P3 6.47804379333259, P4 6.21921995512246, 
  [*,682] P1 7.80226393984935, P2 7.0899509618607, P3 5.96201606889199, P4 6.44896670516078, 
  [*,683] P1 10.6763402130565, P2 10.1682056822591, P3 5.07228351792873, P4 5.07890400190343, 
  [*,684] P1 7.28126763479123, P2 8.89131922123183, P3 8.75615814058106, P4 6.83298815192619, 
  [*,685] P1 10.7640645967074, P2 6.39401879285664, P3 7.59899782879191, P4 5.94206300154923, 
  [*,686] P1 11.535094076172, P2 7.6635616071354, P3 7.3269425756545, P4 5.75332882558305, 
  [*,687] P1 5.03679270224958, P2 5.54195149987096, P3 9.70665391348406, P4 7.25249095507125, 
  [*,688] P1 9.37161413630836, P2 6.80288064675592, P3 7.78757763766843, P4 6.14375967040532, 
  [*,689] P1 11.2945682117595, P2 5.2109345738171, P3 7.8562717272981, P4 5.96294132710374, 
  [*,690] P1 5.06162898326552, P2 6.01956719002416, P3 8.24071145504098, P4 7.63462577517669, 
  [*,691] P1 6.06187264115065, P2 11.1228562918958, P3 5.17503134615907, P4 5.77479123470017, 
  [*,692] P1 9.93723486984696, P2 10.1141749920345, P3 7.05870312768995, P4 5.92461994509847, 
  [*,693] P1 10.4905700596851, P2 7.1895266560671, P3 9.76168572700163, P4 5.51483481410408, 
  [*,694] P1 10.6359201708711, P2 11.3953355280492, P3 5.05253201509945, P4 5.22641260975739, 
  [*,695] P1 7.45330921803663, P2 9.80701754746993, P3 5.04579088108022, P4 5.62867112210071, 
  [*,696] P1 7.43152385336161, P2 6.43705530619082, P3 8.69518070024646, P4 6.79983148001103, 
  [*,697] P1 6.25941036383634, P2 10.6980456072437, P3 8.76630085097117, P4 6.19013955546649, 
  [*,698] P1 7.1740829451983, P2 6.02373790516984, P3 11.1598703262235, P4 6.88250258569719, 
  [*,699] P1 7.97044116658092, P2 5.00998655005534, P3 7.07249189072258, P4 5.55302148895042, 
  [*,700] P1 8.76204569513671, P2 9.48662562813893, P3 5.52157847510262, P4 6.14223159009461, 
  [*,701] P1 7.45523750855687, P2 8.4887150915886, P3 5.20241692302655, P4 6.17813727066839, 
  [*,702] P1 11.6229044539589, P2 6.50183574481318, P3 7.52090532272519, P4 5.57346455444489, 
  [*,703] P1 10.6196172963575, P2 8.11295793253461, P3 5.17728463605923, P4 6.21321615256548, 
  [*,704] P1 11.6075871791231, P2 6.73010670787846, P3 9.48667845952446, P4 6.58206780122336, 
  [*,705] P1 8.00238009793046, P2 8.3635566387206, P3 6.5779870719928, P4 5.48645344223565, 
  [*,706] P1 6.10355347484812, P2 5.77354569303456, P3 8.72899851933962, P4 6.63837277730906, 
  [*,707] P1 8.49520047752415, P2 7.18289365189298, P3 5.93577017445589, P4 5.64221703746652, 
  [*,708] P1 7.58943631413065, P2 8.28092666520561, P3 6.50887511176271, P4 6.64810376849889, 
  [*,709] P1 10.2014047119204, P2 9.50056538832214, P3 5.07260393399754, P4 6.19458101949567, 
  [*,710] P1 8.47898792365383, P2 9.82280104470398, P3 6.02387819496077, P4 5.90497482208216, 
  [*,711] P1 6.36405062824667, P2 7.01609270848331, P3 8.11889621472272, P4 7.29777650820587, 
  [*,712] P1 7.47254203951229, P2 8.33643111540158, P3 6.70366833996177, P4 6.90464875186052, 
  [*,713] P1 10.4784272375579, P2 5.53911034054066, P3 8.64354530791012, P4 6.78722952128376, 
  [*,714] P1 9.05484359577117, P2 8.38730502578818, P3 7.85966548462926, P4 5.62947715687255, 
  [*,715] P1 5.3407937280309, P2 6.21666930840122, P3 10.1531549035566, P4 6.32486882266292, 
  [*,716] P1 7.88504083078713, P2 7.24058691645812, P3 8.3637340692323, P4 6.14716462576976, 
  [*,717] P1 7.60488324702409, P2 6.08506039121529, P3 9.5769496351202, P4 7.33746861799115, 
  [*,718] P1 5.7412569640391, P2 8.03289246897214, P3 7.00561025318695, P4 6.68129896344995, 
  [*,719] P1 5.80991952229082, P2 9.28850235663816, P3 7.46640113642469, P4 5.86729126941799, 
  [*,720] P1 8.62689238664952, P2 6.59989792712995, P3 6.08819377493766, P4 5.56663839254962, 
  [*,721] P1 7.33203257795483, P2 11.3047091462497, P3 6.05201439261384, P4 5.0402896925129, 
  [*,722] P1 9.36542033004709, P2 5.24472727571953, P3 7.14317690312902, P4 6.51572549254883, 
  [*,723] P1 6.41894569463697, P2 8.46321363791915, P3 6.43650849939698, P4 6.62424343376687, 
  [*,724] P1 7.76602924726481, P2 5.70334073046138, P3 9.10865819490245, P4 6.14160143222451, 
  [*,725] P1 10.6336856026569, P2 5.1155629077773, P3 6.35756817247341, P4 5.28917952319479, 
  [*,726] P1 8.67777582114002, P2 7.76237788205916, P3 9.23806369098471, P4 6.68371443083193, 
  [*,727] P1 6.95033608956392, P2 8.52347013205074, P3 8.25112313059772, P4 6.74715333510334, 
  [*,728] P1 6.72853298742943, P2 9.55936333043997, P3 9.26394991843747, P4 6.42809031598264, 
  [*,729] P1 10.9808195808297, P2 7.5494198168603, P3 7.15113765208538, P4 5.31865330670217, 
  [*,730] P1 6.131661389438, P2 9.16079182087269, P3 7.44733790138231, P4 6.90204652266227, 
  [*,731] P1 5.15521795594143, P2 7.80424227782166, P3 9.70409714572685, P4 6.96652827982476, 
  [*,732] P1 9.76677601266784, P2 10.5396885907178, P3 5.87794399004288, P4 6.20468842607316, 
  [*,733] P1 8.76881705998872, P2 7.51443612805763, P3 6.95104675073964, P4 6.71011495078066, 
  [*,734] P1 6.6172084270285, P2 7.20960155226688, P3 6.67191893965334, P4 7.38091759862251, 
  [*,735] P1 5.23957370642828, P2 7.57835931578327, P3 7.00108085105664, P4 7.96109519801446, 
  [*,736] P1 11.2006224293529, P2 10.1017730351234, P3 6.84946213355485, P4 5.19448561669947, 
  [*,737] P1 11.4960833069651, P2 6.67705469686117, P3 7.39422048986548, P4 5.42299878772548, 
  [*,738] P1 11.8781665439335, P2 6.55548505729171, P3 7.53647106345398, P4 6.39551075962928, 
  [*,739] P1 5.88087351288718, P2 10.7861410847313, P3 7.3117257158248, P4 6.61283260243384, 
  [*,740] P1 8.92796078470979, P2 6.95109035902749, P3 7.76931263190874, P4 5.48099636521495, 
  [*,741] P1 8.15672462013913, P2 9.8897016798079, P3 8.87150487939782, P4 6.12183469905831, 
  [*,742] P1 8.76827886246053, P2 9.92709129246205, P3 7.19321321319444, P4 5.65539028645184, 
  [*,743] P1 10.1642409844178, P2 7.93366467114426, P3 8.2387193569894, P4 6.00036533958165, 
  [*,744] P1 7.91837009171652, P2 7.7548040950174, P3 7.21712152815496, P4 5.86465338061156, 
  [*,745] P1 7.31160182877302, P2 7.57009099436584, P3 10.0756705405538, P4 6.76638820227359, 
  [*,746] P1 8.83376094553822, P2 5.81778239532907, P3 5.98340880982785, P4 5.61324449605133, 
  [*,747] P1 8.00214552214479, P2 11.9391372989992, P3 6.24040526399533, P4 6.00918717110641, 
  [*,748] P1 8.71243384712681, P2 10.2804829872915, P3 6.58115664278455, P4 6.3008688172071, 
  [*,749] P1 7.21368631917276, P2 7.82298621040608, P3 7.92964719948852, P4 6.51803975219908, 
  [*,750] P1 8.45550694670789, P2 7.8489173731598, P3 8.21218610298215, P4 5.86579350225097, 
  [*,751] P1 11.0128059327509, P2 11.4174329425591, P3 5.99315437880475, P4 6.74386241682136, 
  [*,752] P1 6.84291229093358, P2 6.98990458916968, P3 9.20525168133078, P4 6.75695908142813, 
  [*,753] P1 9.90244713905385, P2 5.97150384760677, P3 9.55610891286952, P4 5.90018294930301, 
  [*,754] P1 7.33785133077049, P2 5.41991349275904, P3 8.02091751738291, P4 6.99484441962514, 
  [*,755] P1 9.84927651267779, P2 8.3715929757455, P3 7.95843930217271, P4 5.65766243887666, 
  [*,756] P1 5.53504518012546, P2 6.31422927541705, P3 10.8735693014003, P4 6.37913371688818, 
  [*,757] P1 11.6431090893472, P2 8.41375833272538, P3 7.95575157150774, P4 5.76816345118073, 
  [*,758] P1 8.38654464450752, P2 6.21183925069365, P3 6.16207003401405, P4 6.37224191743033, 
  [*,759] P1 6.7667445486208, P2 5.87168291095073, P3 9.79724544155759, P4 6.76366980970365, 
  [*,760] P1 8.51964138476247, P2 8.20566173658791, P3 6.3585821834655, P4 5.83840166009702, 
